root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940625022183,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940642703501,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940627502725,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940624566456,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940622756596,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,left,
720575940612893359,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940631882514,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940633352275,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940613453539,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940622386721,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940627034457,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940632396640,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,left,
720575940620912225,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940609453763,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940616011882,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940638842745,intrinsic,optic,optic_lobe_intrinsic,proximal_medulla,,left,
720575940640863064,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940630383836,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940620930507,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940624647349,intrinsic,optic,optic_lobe_intrinsic,serpentine_medulla,,left,
720575940614357138,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940636207096,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940628714492,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,right,
720575940616906508,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940620884133,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940641552117,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940632180299,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940619838001,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940616478294,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940628870474,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,left,
720575940637255781,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940630596716,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940652614390,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940622399002,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940612645269,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940614248367,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940630868215,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940627161662,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940625860595,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940652520438,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940628525318,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940607363593,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940629796218,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940608988280,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940610319428,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,left,
720575940619799768,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940615351995,intrinsic,optic,optic_lobe_intrinsic,proximal_medulla,,right,
720575940645497892,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940624182089,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940612554163,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
